stock_id,date,open,high,low,close,volume,trading_money,trading_turnover,spread
TAIEX,2026-01-06,29933.65,30576.3,29933.65,30576.3,12040596292,763236739665.0,4665223,471.26
TAIEX,2026-01-07,30412.32,30570.26,30306.16,30435.47,14251362877,881736707216.0,5538374,-140.83
TAIEX,2026-01-08,30330.58,30593.49,30268.36,30360.55,13237635957,759270755036.0,5393393,-74.92
TAIEX,2026-01-09,30370.45,30500.42,29925.49,30288.96,11350115100,704371387415.0,4635607,-71.59
TAIEX,2026-01-12,30472.7,30681.99,30472.7,30567.29,10706885024,626408176303.0,4266286,278.33
TAIEX,2026-01-13,30630.86,30973.85,30529.33,30707.22,12095287473,749179436618.0,4914905,139.93
TAIEX,2026-01-14,30742.53,30994.81,30742.53,30941.78,11337766253,681983353722.0,4681743,234.56
TAIEX,2026-01-15,30746.98,30877.31,30663.87,30810.58,11502671786,671953720007.0,4839771,-131.2
TAIEX,2026-01-16,30844.63,31475.22,30844.63,31408.7,12754630286,851452408675.0,5392485,598.12
TAIEX,2026-01-19,31336.77,31827.39,31285.53,31639.29,13668186807,823428003269.0,5907091,230.59
TAIEX,2026-01-20,31584.34,31759.99,31340.1,31759.99,13170800649,799639371793.0,5725587,120.7
TAIEX,2026-01-21,31749.14,31749.14,31200.76,31246.37,14446040108,899309076186.0,6525387,-513.62
TAIEX,2026-01-22,31371.13,31890.62,31371.13,31746.08,13104288592,814595841360.0,5428888,499.71
TAIEX,2026-01-23,31788.77,32042.44,31693.15,31961.51,12103342453,818428930073.0,5258313,215.43
TAIEX,2026-01-26,32002.56,32196.75,31989.86,32064.52,11574650763,747339306040.0,5008256,103.01
TAIEX,2026-01-27,32095.08,32428.17,32095.08,32317.92,12767369519,817604546187.0,5390959,253.4
TAIEX,2026-01-28,32381.76,32803.82,32381.76,32803.82,12947973323,853922428449.0,5477586,485.9
TAIEX,2026-01-29,32828.02,32996.03,32472.45,32536.27,13552952931,959652045839.0,5986744,-267.55
TAIEX,2026-01-30,32555.52,32555.52,32004.96,32063.75,13417799586,941320964545.0,6267791,-472.52
TAIEX,2026-02-02,32008.46,32008.46,31359.95,31624.03,11735154321,771419543919.0,5758292,-439.72
TAIEX,2026-02-03,31737.66,32293.83,31737.66,32195.36,11518844202,821574120123.0,4708431,571.33
TAIEX,2026-02-04,32196.57,32380.0,31942.28,32289.81,10160254873,704644032693.0,4072781,94.45
TAIEX,2026-02-05,32241.64,32241.64,31769.08,31801.27,11186277150,715168705076.0,4940125,-488.54
TAIEX,2026-02-06,31746.44,31842.62,31164.28,31782.92,10552234186,700313173141.0,4521784,-18.35
TAIEX,2026-02-09,31956.21,32666.05,31956.21,32404.62,9406563866,653957736705.0,3954439,621.7
TAIEX,2026-02-10,32439.71,33072.97,32439.71,33072.97,8544963373,678490714672.0,3900357,668.35
