stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1203,quarterly,2025-Q3,,,0.64,45.45454545454546,,2025-09-30
1203,quarterly,2025-Q4,,,0.53,-32.05128205128205,6.759611322348964,2025-12-31
1203,quarterly,2026-Q1,,,0.49,-15.51724137931034,6.289573659772055,2026-03-31
1210,quarterly,2021-Q2,,,0.51,,,2021-06-30
1210,quarterly,2021-Q3,,,0.37,,,2021-09-30
1210,quarterly,2021-Q4,,,0.48,,,2021-12-31
1210,quarterly,2022-Q1,,,0.69,,,2022-03-31
1210,quarterly,2022-Q2,,,0.64,25.49019607843137,,2022-06-30
1210,quarterly,2022-Q3,,,0.62,67.56756756756756,,2022-09-30
1210,quarterly,2022-Q4,,,0.71,47.916666666666664,,2022-12-31
1210,quarterly,2023-Q1,,,0.9,30.434782608695667,,2023-03-31
1210,quarterly,2023-Q2,,,1.27,98.4375,,2023-06-30
1210,quarterly,2023-Q3,,,1.51,143.5483870967742,,2023-09-30
1210,quarterly,2023-Q4,,,1.13,59.15492957746478,,2023-12-31
1210,quarterly,2024-Q1,,,1.0,11.111111111111107,,2024-03-31
1210,quarterly,2024-Q2,,,0.94,-25.98425196850394,,2024-06-30
1210,quarterly,2024-Q3,,,1.0,-33.77483443708609,,2024-09-30
1210,quarterly,2024-Q4,,,1.27,12.389380530973463,,2024-12-31
1210,quarterly,2025-Q1,,,1.05,5.000000000000004,,2025-03-31
1210,quarterly,2025-Q2,,,0.68,-27.659574468085097,,2025-06-30
1210,quarterly,2025-Q3,,,0.93,-6.999999999999995,,2025-09-30
1210,quarterly,2025-Q4,,,1.66,30.708661417322823,13.580246913580249,2025-12-31
1210,quarterly,2026-Q1,,,0.94,-10.476190476190485,14.068745003996803,2026-03-31
1213,quarterly,2021-Q2,,,-0.41,,,2021-06-30
1213,quarterly,2021-Q3,,,-0.71,,,2021-09-30
1213,quarterly,2021-Q4,,,-0.3,,,2021-12-31
1213,quarterly,2022-Q1,,,-0.47,,,2022-03-31
1213,quarterly,2022-Q2,,,-0.31,24.39024390243902,,2022-06-30
1213,quarterly,2022-Q3,,,-0.3,57.74647887323944,,2022-09-30
1213,quarterly,2022-Q4,,,-0.26,13.333333333333327,,2022-12-31
1213,quarterly,2023-Q1,,,-0.34,27.659574468085097,,2023-03-31
1213,quarterly,2023-Q2,,,-0.72,-132.25806451612902,,2023-06-30
1213,quarterly,2023-Q3,,,-0.66,-120.00000000000001,,2023-09-30
1213,quarterly,2023-Q4,,,-0.74,-184.6153846153846,,2023-12-31
1213,quarterly,2024-Q1,,,-0.43,-26.470588235294105,,2024-03-31
1213,quarterly,2024-Q2,,,0.0,100.0,,2024-06-30
1213,quarterly,2024-Q3,,,-0.32,51.515151515151516,,2024-09-30
1213,quarterly,2024-Q4,,,9.46,1378.3783783783786,,2024-12-31
1213,quarterly,2025-Q1,,,-0.23,46.51162790697674,,2025-03-31
1213,quarterly,2025-Q2,,,-0.23,,,2025-06-30
1213,quarterly,2025-Q3,,,-0.2,37.5,,2025-09-30
1213,quarterly,2025-Q4,,,-0.2,-102.11416490486258,,2025-12-31
1213,quarterly,2026-Q1,,,-0.37,-60.8695652173913,,2026-03-31
1215,quarterly,2021-Q2,,,1.46,,,2021-06-30
1215,quarterly,2021-Q3,,,1.07,,,2021-09-30
1215,quarterly,2021-Q4,,,1.08,,,2021-12-31
1215,quarterly,2022-Q1,,,1.22,,,2022-03-31
1215,quarterly,2022-Q2,,,1.82,24.65753424657535,,2022-06-30
1215,quarterly,2022-Q3,,,1.28,19.62616822429906,,2022-09-30
1215,quarterly,2022-Q4,,,1.23,13.888888888888879,,2022-12-31
1215,quarterly,2023-Q1,,,1.43,17.213114754098356,,2023-03-31
1215,quarterly,2023-Q2,,,2.04,12.087912087912086,,2023-06-30
1215,quarterly,2023-Q3,,,2.2,71.87500000000001,,2023-09-30
1215,quarterly,2023-Q4,,,2.03,65.04065040650406,,2023-12-31
1215,quarterly,2024-Q1,,,1.25,-12.587412587412583,,2024-03-31
1215,quarterly,2024-Q2,,,1.28,-37.254901960784316,,2024-06-30
1215,quarterly,2024-Q3,,,1.74,-20.909090909090917,,2024-09-30
1215,quarterly,2024-Q4,,,2.28,12.315270935960593,,2024-12-31
1215,quarterly,2025-Q1,,,2.38,90.39999999999999,,2025-03-31
1215,quarterly,2025-Q2,,,2.58,101.5625,,2025-06-30
1215,quarterly,2025-Q3,,,2.99,71.83908045977013,,2025-09-30
1215,quarterly,2025-Q4,,,2.45,7.45614035087721,24.63433410315628,2025-12-31
1215,quarterly,2026-Q1,,,1.26,-47.05882352941176,25.83606557377049,2026-03-31
1216,quarterly,2021-Q2,,,0.95,,,2021-06-30
1216,quarterly,2021-Q3,,,1.01,,,2021-09-30
1216,quarterly,2021-Q4,,,0.6,,,2021-12-31
1216,quarterly,2022-Q1,,,0.75,,,2022-03-31
1216,quarterly,2022-Q2,,,0.85,-10.526315789473681,,2022-06-30
1216,quarterly,2022-Q3,,,0.97,-3.960396039603964,,2022-09-30
1216,quarterly,2022-Q4,,,0.45,-24.999999999999993,,2022-12-31
1216,quarterly,2023-Q1,,,0.88,17.333333333333336,,2023-03-31
1216,quarterly,2023-Q2,,,1.09,28.23529411764707,,2023-06-30
1216,quarterly,2023-Q3,,,0.98,1.0309278350515474,,2023-09-30
1216,quarterly,2023-Q4,,,0.28,-37.77777777777777,,2023-12-31
1216,quarterly,2024-Q1,,,0.97,10.227272727272723,,2024-03-31
1216,quarterly,2024-Q2,,,1.04,-4.587155963302756,,2024-06-30
1216,quarterly,2024-Q3,,,1.07,9.183673469387763,,2024-09-30
1216,quarterly,2024-Q4,,,0.55,96.42857142857143,,2024-12-31
1216,quarterly,2025-Q1,,,0.91,-6.185567010309272,,2025-03-31
1216,quarterly,2025-Q2,,,0.97,-6.730769230769236,,2025-06-30
1216,quarterly,2025-Q3,,,1.06,-0.9345794392523372,,2025-09-30
1216,quarterly,2025-Q4,,,0.52,-5.4545454545454595,14.414866901054747,2025-12-31
1216,quarterly,2026-Q1,,,1.15,26.373626373626358,14.512134720158492,2026-03-31
1217,quarterly,2021-Q2,,,0.23,,,2021-06-30
1217,quarterly,2021-Q3,,,0.18,,,2021-09-30
1217,quarterly,2021-Q4,,,-0.14,,,2021-12-31
1217,quarterly,2022-Q1,,,0.1,,,2022-03-31
1217,quarterly,2022-Q2,,,-0.04,-117.3913043478261,,2022-06-30
1217,quarterly,2022-Q3,,,0.52,188.8888888888889,,2022-09-30
1217,quarterly,2022-Q4,,,-0.03,78.57142857142857,,2022-12-31
1217,quarterly,2023-Q1,,,0.13,30.0,,2023-03-31
1217,quarterly,2023-Q2,,,0.04,200.0,,2023-06-30
1217,quarterly,2023-Q3,,,0.18,-65.38461538461539,,2023-09-30
1217,quarterly,2023-Q4,,,0.05,266.6666666666667,,2023-12-31
1217,quarterly,2024-Q1,,,0.16,23.076923076923077,,2024-03-31
1217,quarterly,2024-Q2,,,0.24,499.9999999999999,,2024-06-30
1217,quarterly,2024-Q3,,,0.23,27.77777777777779,,2024-09-30
1217,quarterly,2024-Q4,,,-0.04,-179.99999999999997,,2024-12-31
1217,quarterly,2025-Q1,,,-0.19,-218.75,,2025-03-31
1217,quarterly,2025-Q2,,,0.14,-41.66666666666666,,2025-06-30
1217,quarterly,2025-Q3,,,0.36,56.52173913043477,,2025-09-30
1217,quarterly,2025-Q4,,,0.11,375.0,2.6498696785403992,2025-12-31
1217,quarterly,2026-Q1,,,-0.13,31.57894736842105,3.189300411522633,2026-03-31
1218,quarterly,2021-Q2,,,0.28,,,2021-06-30
