pick_date,sid,strategy,top_features,generated_at
2026-05-15,00795B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.47641728778578285, ""contribution"": -0.03605973627565423, ""contribution_pct"": 22.8, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.06443265993928765, ""contribution"": -0.032503641989982617, ""contribution_pct"": 20.5, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.1716805038691689, ""contribution"": -0.030922449253409718, ""contribution_pct"": 19.5, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00799B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.45882555028680244, ""contribution"": -0.051274997406574915, ""contribution_pct"": 37.9, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.11014467046937781, ""contribution"": -0.026843696666623115, ""contribution_pct"": 19.8, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.04953731229692107, ""contribution"": -0.023897190021825224, ""contribution_pct"": 17.7, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00836B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.3645198479810515, ""contribution"": -0.056635729962712954, ""contribution_pct"": 25.4, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.037412085974925485, ""contribution"": -0.033520488150823584, ""contribution_pct"": 15.0, ""direction"": ""-""}, {""feature"": ""kd_d"", ""value"": 20.027247283728542, ""contribution"": -0.032694425672440554, ""contribution_pct"": 14.6, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00864B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.3625949529356355, ""contribution"": -0.06519129671045557, ""contribution_pct"": 32.1, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": 0.041087121322236186, ""contribution"": -0.03736098914573755, ""contribution_pct"": 18.4, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 1.2955745536836811, ""contribution"": -0.02162390509665411, ""contribution_pct"": 10.7, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00931B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.5002828146261149, ""contribution"": -0.035151091890622974, ""contribution_pct"": 18.0, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.035638133012096625, ""contribution"": -0.030977225964577252, ""contribution_pct"": 15.8, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.02935327442813876, ""contribution"": -0.030230633756696334, ""contribution_pct"": 15.4, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00933B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4064296852424808, ""contribution"": -0.08363812768028722, ""contribution_pct"": 28.6, ""direction"": ""-""}, {""feature"": ""kd_d"", ""value"": 24.275782494157998, ""contribution"": -0.05169599075497024, ""contribution_pct"": 17.7, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.005927627280315734, ""contribution"": -0.048277001856759226, ""contribution_pct"": 16.5, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00942B,bias_convergence,"[{""feature"": ""macd_dif"", ""value"": -0.04990116237819464, ""contribution"": -0.02959950682419189, ""contribution_pct"": 23.6, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.012567125465307583, ""contribution"": -0.023837558176203415, ""contribution_pct"": 19.0, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.13011268107492371, ""contribution"": -0.019249278622599883, ""contribution_pct"": 15.4, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00948B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.4753824950214291, ""contribution"": -0.047601503140969614, ""contribution_pct"": 25.1, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.006419761442503925, ""contribution"": -0.03730534658709054, ""contribution_pct"": 19.7, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.0258628168809647, ""contribution"": -0.03068347225435045, ""contribution_pct"": 16.2, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00950B,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 0.43182804536543096, ""contribution"": -0.046126653023744524, ""contribution_pct"": 24.2, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.029422776479735152, ""contribution"": -0.03879442171852001, ""contribution_pct"": 20.4, ""direction"": ""-""}, {""feature"": ""kd_d"", ""value"": 15.819342408039443, ""contribution"": -0.029646504263706137, ""contribution_pct"": 15.6, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,00987B,bias_convergence,"[{""feature"": ""vol_ratio"", ""value"": 2.1776804418206055, ""contribution"": 0.039565456079635436, ""contribution_pct"": 35.6, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": -0.5688067628295698, ""contribution"": 0.01957580104023979, ""contribution_pct"": 17.6, ""direction"": ""+""}, {""feature"": ""kd_k"", ""value"": 51.99586834976445, ""contribution"": -0.01155172002702049, ""contribution_pct"": 10.4, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,1504,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": -0.04174048438355032, ""contribution"": 0.06598084547366344, ""contribution_pct"": 39.0, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 4.599364336430114, ""contribution"": 0.021968550422708306, ""contribution_pct"": 13.0, ""direction"": ""+""}, {""feature"": ""holders_delta_w_zscore"", ""value"": -1.2044544323359487, ""contribution"": 0.02153175042060473, ""contribution_pct"": 12.7, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1528,general,"[{""feature"": ""macd_dif"", ""value"": -0.11396685229074066, ""contribution"": -0.03266427196808705, ""contribution_pct"": 24.7, ""direction"": ""-""}, {""feature"": ""atr_normalized"", ""value"": 6.496189000194338, ""contribution"": 0.029986677122252284, ""contribution_pct"": 22.7, ""direction"": ""+""}, {""feature"": ""holders_delta_w_zscore"", ""value"": 0.0, ""contribution"": -0.014865150302231693, ""contribution_pct"": 11.2, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,1586,bias_convergence,"[{""feature"": ""vol_ratio"", ""value"": 1.114146933819065, ""contribution"": -0.030684770242351035, ""contribution_pct"": 16.5, ""direction"": ""-""}, {""feature"": ""kd_k"", ""value"": 50.7970460100215, ""contribution"": -0.030548928175448006, ""contribution_pct"": 16.5, ""direction"": ""-""}, {""feature"": ""bias_pct"", ""value"": -0.5649717514124294, ""contribution"": 0.02805070310958974, ""contribution_pct"": 15.1, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1586,macd_golden,"[{""feature"": ""atr_normalized"", ""value"": 2.1333571256264268, ""contribution"": -0.12768212475745538, ""contribution_pct"": 50.6, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 1.114146933819065, ""contribution"": -0.05016166141197249, ""contribution_pct"": 19.9, ""direction"": ""-""}, {""feature"": ""kd_d"", ""value"": 34.35344828030312, ""contribution"": -0.020922999958497543, ""contribution_pct"": 8.3, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,1597,general,"[{""feature"": ""bias_pct"", ""value"": 22.79801607662048, ""contribution"": 0.06561120807334535, ""contribution_pct"": 21.9, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 6.248353085476527, ""contribution"": 0.056603311453400695, ""contribution_pct"": 18.9, ""direction"": ""+""}, {""feature"": ""holders_pct_change_4w"", ""value"": 0.24956850770044298, ""contribution"": 0.05652891127528653, ""contribution_pct"": 18.9, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1599,bb_lower_rebound,"[{""feature"": ""macd_dif"", ""value"": -0.43224049197064573, ""contribution"": 0.04532901101713322, ""contribution_pct"": 21.4, ""direction"": ""+""}, {""feature"": ""vol_ratio"", ""value"": 1.3865546218487395, ""contribution"": -0.03849241874663023, ""contribution_pct"": 18.1, ""direction"": ""-""}, {""feature"": ""macd_osc"", ""value"": -0.1811247064940834, ""contribution"": -0.02984171882841856, ""contribution_pct"": 14.1, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,1599,bias_convergence,"[{""feature"": ""kd_k"", ""value"": 15.003978033121442, ""contribution"": 0.037833811889489706, ""contribution_pct"": 29.7, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": -4.2072497238678555, ""contribution"": -0.020281383690196476, ""contribution_pct"": 15.9, ""direction"": ""-""}, {""feature"": ""bb_position"", ""value"": 0.0, ""contribution"": -0.020243001004693915, ""contribution_pct"": 15.9, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,1605,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": 0.06466009526993378, ""contribution"": 0.06260854024550963, ""contribution_pct"": 34.6, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 4.677883759662136, ""contribution"": 0.03371382040793257, ""contribution_pct"": 18.7, ""direction"": ""+""}, {""feature"": ""holders_delta_w_zscore"", ""value"": -1.0096773610459777, ""contribution"": 0.02386549698114821, ""contribution_pct"": 13.2, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1727,general,"[{""feature"": ""atr_normalized"", ""value"": 6.578538997379129, ""contribution"": 0.04147520809300394, ""contribution_pct"": 19.7, ""direction"": ""+""}, {""feature"": ""macd_dif"", ""value"": 6.8929059378435085, ""contribution"": 0.04140165893004289, ""contribution_pct"": 19.7, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": 20.42714433344816, ""contribution"": 0.03827360196312193, ""contribution_pct"": 18.2, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1742,bias_convergence,"[{""feature"": ""bias_pct"", ""value"": -4.42927448801398, ""contribution"": -0.03652076537394794, ""contribution_pct"": 19.1, ""direction"": ""-""}, {""feature"": ""atr_normalized"", ""value"": 3.2401757984322432, ""contribution"": 0.034707036555246075, ""contribution_pct"": 18.1, ""direction"": ""+""}, {""feature"": ""kd_k"", ""value"": 14.152085875520303, ""contribution"": 0.030968448397493114, ""contribution_pct"": 16.2, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1784,bias_convergence,"[{""feature"": ""macd_dif"", ""value"": -2.2993509226098183, ""contribution"": 0.04575996853163634, ""contribution_pct"": 26.2, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 3.626693032098406, ""contribution"": 0.0367510822927217, ""contribution_pct"": 21.1, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": -3.966322436361245, ""contribution"": -0.03222733298437086, ""contribution_pct"": 18.5, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
