stock_id,target_mean,target_median,target_high,target_low,num_analysts,source,fetched_at
6805,2504.1086,2509.935,2798.0464,2050.8003,8,yfinance,2026-05-17T15:45:22+00:00
6811,273.33334,270.0,314.0,236.0,3,yfinance,2026-05-17T15:45:25+00:00
6829,275.0,275.0,275.0,275.0,1,yfinance,2026-05-17T15:45:29+00:00
6831,545.0,545.0,545.0,545.0,1,yfinance,2026-05-19T04:20:56+00:00
6841,104.0,104.0,108.0,100.0,2,yfinance,2026-05-17T15:45:35+00:00
6854,180.0,180.0,180.0,180.0,1,yfinance,2026-05-19T04:20:58+00:00
6863,132.5,132.5,135.0,130.0,2,yfinance,2026-05-19T04:21:00+00:00
6869,159.0,159.0,218.0,100.0,2,yfinance,2026-05-17T15:45:46+00:00
6870,306.0,306.0,306.0,306.0,1,yfinance,2026-05-19T04:21:01+00:00
6873,240.0,240.0,240.0,240.0,1,yfinance,2026-05-19T04:21:01+00:00
6887,117.0,117.0,117.0,117.0,1,yfinance,2026-05-19T04:21:04+00:00
6890,242.09091,200.0,400.0,140.0,11,yfinance,2026-05-17T15:45:57+00:00
6894,1843.456,1843.456,1843.456,1843.456,1,yfinance,2026-05-17T15:45:58+00:00
6902,200.0,200.0,200.0,200.0,1,yfinance,2026-05-19T04:21:04+00:00
6903,475.0,475.0,475.0,475.0,1,yfinance,2026-05-17T15:46:02+00:00
6913,158.0,158.0,158.0,158.0,1,yfinance,2026-05-19T04:21:05+00:00
6919,240.0,240.0,240.0,240.0,1,yfinance,2026-05-17T15:46:13+00:00
6934,115.0,115.0,115.0,115.0,1,yfinance,2026-05-17T15:46:23+00:00
6937,300.0,300.0,300.0,300.0,1,yfinance,2026-05-17T15:46:25+00:00
6944,620.0,620.0,620.0,620.0,1,yfinance,2026-05-19T04:21:10+00:00
6962,66.0,66.0,66.0,66.0,1,yfinance,2026-05-17T15:46:35+00:00
6965,86.4,86.4,86.4,86.4,1,yfinance,2026-05-17T15:46:36+00:00
6997,97.0,97.0,97.0,97.0,1,yfinance,2026-05-17T15:46:45+00:00
7711,440.0,440.0,440.0,440.0,1,yfinance,2026-05-17T15:46:59+00:00
7714,182.0,182.0,182.0,182.0,1,yfinance,2026-05-19T04:21:16+00:00
7722,643.0,643.0,845.0,441.0,2,yfinance,2026-05-17T15:47:08+00:00
7734,2460.0,2460.0,2460.0,2460.0,1,yfinance,2026-05-17T15:47:13+00:00
7738,328.0,328.0,328.0,328.0,1,yfinance,2026-05-17T15:47:15+00:00
7744,600.0,600.0,600.0,600.0,1,yfinance,2026-05-17T15:47:18+00:00
7750,2215.0,2215.0,2340.0,2090.0,2,yfinance,2026-05-17T15:47:21+00:00
7765,320.0,320.0,320.0,320.0,1,yfinance,2026-05-19T04:21:22+00:00
7769,9289.846,9500.0,12000.0,5500.0,13,yfinance,2026-05-19T17:27:28+00:00
7780,18.0,18.0,18.0,18.0,1,yfinance,2026-05-19T17:27:29+00:00
7786,227.66667,200.0,300.0,183.0,3,yfinance,2026-05-17T15:47:33+00:00
7799,1203.3334,1250.0,1260.0,1100.0,3,yfinance,2026-05-19T04:21:27+00:00
