market,report_date,gross_amount,net_amount,source_url,fetched_at
TWSE,2026-03-13,15967950,10582250,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-12,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-12,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-12,26490484,602168,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-11,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-11,4783735,163735,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-11,27222946,2399254,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-10,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-10,30819,30819,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-10,11115244,412844,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-09,5505,5505,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-09,29781500,444500,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-09,32777535,3840231,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-06,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-06,4778550,160150,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-06,27919240,3741040,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-05,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-05,18543712,6208112,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-05,236229275,16018875,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-04,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-04,2541651,401651,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-04,35108695,8331467,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-03,722,722,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-03,16936350,71850,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-03,70461577,5348245,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-03-02,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-03-02,3429380,106700,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-03-02,9724458,564180,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-26,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-26,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-26,14742395,782195,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-25,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-25,1681450,46650,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-25,9700789,675895,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-24,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-24,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-24,0,0,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
TPEX_EMERGING,2026-02-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TPEX_LISTED,2026-02-23,0,0,https://www.tpex.org.tw/www/zh-tw/bulletin/breach,2026-05-17T22:52:55+00:00
TWSE,2026-02-23,0,0,https://www.twse.com.tw/announcement/BFIGTU,2026-05-17T22:52:55+00:00
